layer,top1,top5
0,0.64,0.82
1,0.64,0.8
2,0.61,0.8
3,0.64,0.82
4,0.63,0.81
5,0.64,0.82
6,0.63,0.85
7,0.63,0.84
8,0.64,0.85
9,0.63,0.85
10,0.67,0.83
11,0.63,0.85
12,0.63,0.85
13,0.63,0.85
14,0.64,0.84
15,0.64,0.85
16,0.64,0.85
17,0.65,0.85
18,0.63,0.84
19,0.65,0.84
20,0.65,0.84
21,0.64,0.85
22,0.64,0.85
23,0.64,0.84
24,0.65,0.84
25,0.65,0.85
26,0.65,0.84
27,0.65,0.84
28,0.64,0.84
29,0.65,0.84
30,0.65,0.82
31,0.65,0.82
32,0.65,0.82
33,0.65,0.82
34,0.65,0.83
35,0.65,0.82
36,0.65,0.82
37,0.66,0.84
38,0.65,0.84
39,0.65,0.84
40,0.65,0.84
41,0.65,0.84
42,0.66,0.84
43,0.66,0.84
44,0.66,0.84
45,0.66,0.84
46,0.66,0.84
47,0.66,0.84
48,0.66,0.83
49,0.66,0.84
50,0.66,0.83
51,0.65,0.84
52,0.65,0.83
53,0.65,0.83
54,0.65,0.83
55,0.65,0.83
56,0.65,0.84
57,0.65,0.84
58,0.65,0.83
59,0.65,0.82
60,0.65,0.82
61,0.65,0.83
62,0.64,0.84
63,0.65,0.82
64,0.64,0.82
65,0.64,0.84
66,0.59,0.81
67,0.63,0.84
68,0.64,0.83
69,0.64,0.83
70,0.64,0.84
71,0.64,0.84
72,0.64,0.83
73,0.64,0.84
74,0.64,0.84
75,0.64,0.83
